Name of the food,image,calories,Personal Points,summary,The recipe Key
Cajun Chicken Pasta,https://www.skinnytaste.com/wp-content/uploads/2012/02/Cajun-Chicken-Pasta-5.jpg,324 kcal,7,"Cajun Chicken Pasta is packed with chicken strips, bell peppers, red onion, mushrooms, and scallions in a light, creamy Cajun sauce.",HF KF Q
Loaded Baked Potato Soup,https://www.skinnytaste.com/wp-content/uploads/2016/08/Baked-Potato-Soup-5.jpg,200 kcal,7,"This healthy loaded baked potato soup recipe is comforting, delicious, and so easy to make! Made with hidden veggies!",GF KF Q
Babka-Inspired Bagels,https://www.skinnytaste.com/wp-content/uploads/2023/08/Babka-Bagels-20.jpg,158 kcal,5,"These Greek yogurt bagels with a babka-inspired filling of cinnamon, sugar, and chocolate are delicious served for breakfast with coffee or as an after school snack.",KF V
Roasted Broccoli with Smashed Garlic,https://www.skinnytaste.com/wp-content/uploads/2010/03/Roasted-Broccoli-with-Smashed-Garlic-4.jpg,124 kcal,2,Oven roasted broccoli with smashed garlic takes broccoli from basic to delicious in under 30 minutes. A simple side dish with 5 ingredients.,DF GF LC Q V
Chicken Stroganoff,https://www.skinnytaste.com/wp-content/uploads/2023/08/Chicken-Stroganoff-9-1.jpg,241 kcal,7,"This family-friendly Chicken Stroganoff made with ground chicken and mushrooms in a creamy sauce is perfect over egg noodles, veggie noodles, or pasta.",HP KF
Feta Eggs with Zucchini,https://www.skinnytaste.com/wp-content/uploads/2023/08/Feta-Eggs-with-Zucchini-5.jpg,284 kcal,4,These 5-ingredient Feta Eggs with Zucchini take less than 10 minutes to make. An easy way to add veggies to your breakfast!,GF HP LC Q V
Air Fryer Fish Sticks,https://www.skinnytaste.com/wp-content/uploads/2023/08/Air-Fryer-Fish-Sticks-9.jpg,294 kcal,5,"Once you make air fryer fish sticks from scratch, you’ll never deep fry them again! Perfect with homemade tartar sauce.",AF FM GF HP KF MP
Instant Pot Chicken Noodle Soup,https://www.skinnytaste.com/wp-content/uploads/2023/08/Instant-Pot-Chicken-Noodle-Soup-6.jpg,223 kcal,4,"Enjoy this quick and easy Instant Pot Chicken Noodle Soup in your lunch box, on a cold day or when you’re feeling under the weather. It’s so comforting!",DF KF MP PC
Hummus,https://www.skinnytaste.com/wp-content/uploads/2023/08/Hummus-8.jpg,252 kcal,3,This quick and easy blender hummus made with canned chickpeas comes out super creamy. It’s so easy to make from scratch that you’ll never buy it pre-made again!,DF HF Q V
Ratatouille with Farro,https://www.skinnytaste.com/wp-content/uploads/2023/08/RatatouillewithFarro-13.jpg,243 kcal,5,"Ratatouille with Farro is loaded with summer vegetables, like tomatoes, zucchini, bell peppers, and eggplant. Enjoy it as a vegetarian main or as a side dish with a protein.",DF FM HF V
Shrimp Quesadilla,https://www.skinnytaste.com/wp-content/uploads/2023/07/Shrimp-Quesadilla-6.jpg,299 kcal,7,Enjoy this protein-packed Shrimp Quesadilla recipe bursting with savory flavors – an ideal choice for a light and satisfying dinner or lunch.,GF HP HF KF Q
Zucchini Gnocchi,https://www.skinnytaste.com/wp-content/uploads/2023/07/Zucchini-Gnocchi-8-1.jpg,216 kcal,3,"There are no potatoes in this homemade Zucchini Gnocchi. It’s mostly zucchini with a little flour and cheese, pan-fried with marinara sauce. Delish!",GF KF V
Chicken Eggplant Parmesan,https://www.skinnytaste.com/wp-content/uploads/2023/07/Chicken-Eggplant-Parmesan-7.jpg,473 kcal,8,"Chicken Eggplant Parmesan is made with breaded, air-fried (or baked) chicken breast and topped with a simple eggplant marinara sauce and fresh mozzarella. It’s high in protein and delicious!",AF HP
Air Fryer Asian Meatballs,https://www.skinnytaste.com/wp-content/uploads/2023/07/Asian-Meatball-Rice-Bowls-6.jpg,483 kcal,10,"Air Fryer Asian Meatballs made with ground turkey, rice and edamame is a healthy dinner idea or lunch and great for meal prep!",AF DF FM HP HF MP
Gazpacho,https://www.skinnytaste.com/wp-content/uploads/2023/07/230718_gazpacho-14.jpg,116 kcal,2,"Gazpacho, a chilled soup made with fresh tomatoes, cucumbers, and bell peppers, is a delicious way to stay cool and hydrated during the hot summer months.",DF V
Zucchini Pancakes,https://www.skinnytaste.com/wp-content/uploads/2008/07/ZuchiniPancakes-06.jpg,120 kcal,2,"Like potato pancakes but with fewer carbs, these savory Zucchini Pancakes are the perfect side dish with grilled chicken or steak.",KF LC V
Corn Salsa,https://www.skinnytaste.com/wp-content/uploads/2019/02/Corn-Salsa-with-Lime-5.jpg,57 kcal,0,"This easy corn salsa made with lime, cilantro, and tomatoes is perfect with chips or served over your favorite tacos or burrito bowls!",DF GF KF LC Q V
Zucchini Bread,https://www.skinnytaste.com/wp-content/uploads/2022/08/Zucchini-Bread-7-1.jpg,144 kcal,5,"This moist, delicious Zucchini Bread with walnuts, cinnamon, and vanilla, is made healthy and light with applesauce – a great way to use up that summer zucchini!",DF FM GF KF V
Spicy Salmon Sushi Pizza,https://www.skinnytaste.com/wp-content/uploads/2023/07/Spicy-Salmon-Sushi-Pizza-7.jpg,403 kcal,8,"I’m obsessed with this spicy salmon sushi pizza made with spicy mayo, sushi-grade salmon, avocado, scallions, and jalapeño on a tortilla crust.",AF DF GF HP
Air Fryer Pork Chops,https://www.skinnytaste.com/wp-content/uploads/2021/09/Air-Fryer-Pork-Chops-5-1.jpg,378 kcal,7,"These crispy, air fryer pork chops are moist, tender and juicy on the inside with a golden-crispy breaded crust on the outside!",AF DF GF KF Q
Pupusas,https://www.skinnytaste.com/wp-content/uploads/2023/07/Pupusas-12.jpg,220 kcal,6,"Pupusas are stuffed tortillas made with corn masa, cheese and beans served with curtido. They’re easy to customize with any filling you wish.",DF FM GF HF V
Waffled Zucchini Fritters,https://www.skinnytaste.com/wp-content/uploads/2023/07/Savory-Zucchini-Waffle-Recipe-5.jpg,75 kcal,2,"Dust off that waffle iron and make these savory zucchini waffles! It’s easy, super delicious, and a great way to use summer zucchini.",DF GF KF LC V
BBQ Chicken,https://www.skinnytaste.com/wp-content/uploads/2023/07/BBQ-Chicken-8.jpg,267 kcal,7,"This 5-ingredient BBQ Chicken is juicy, beautifully charred, and easy to make using your favorite BBQ sauce. Perfect for your summer cookout!",DF HP LC
Homemade Ferrero Rocher (Hazelnut) Date Balls,https://www.skinnytaste.com/wp-content/uploads/2023/06/HomemadeFerreroRocherHazelnutDateBalls-06.jpg,90 kcal,5,"Healthy Chocolate Hazelnut Date Balls, inspired by Ferrero Rocher are made with hazelnuts, dates, pumpkin puree, and cocoa powder.",DF GF Q V
Grilled Pesto Chicken and Tomato Kebabs,https://www.skinnytaste.com/wp-content/uploads/2013/06/Grilled-Pesto-Chicken-and-Tomato-Kebabs-4.jpg,147 kcal,2,"Grilled Pesto Chicken and Tomato Kebabs SCREAM summer! Made with chunks of boneless chicken breasts, basil pesto, and cherry tomatoes, they are great as an appetizer or dinner.",GF KF LC
Chicken Burger,https://www.skinnytaste.com/wp-content/uploads/2023/06/Chicken_Burger-05.jpg,284 kcal,7,"This moist and juicy ground chicken burgers are perfect on a bun with all the fixins, in a lettuce wrap for a carb-free meal, or in a bowl with grains and veggies for meal prep!",DF FM HP MP Q
Coleslaw Recipe,https://www.skinnytaste.com/wp-content/uploads/2023/06/Cole-Slaw-4.jpg,73 kcal,2,"This easy coleslaw recipe is the perfect side to pair with anything you’re grilling this summer! Serve it as a side dish with a pulled pork sandwich, burgers, hot dogs, and more.",DF GF LC Q V W
Grilled Chicken Sandwich,https://www.skinnytaste.com/wp-content/uploads/2023/06/Grilled-Chicken-Sandwiches-6-1.jpg,406 kcal,6,"My favorite Grilled Chicken Sandwich, made with tender, pickle-brined grilled chicken breast with a zesty slaw and spicy mayo – so good!!",DF HP KF
Grilled Pineapple,https://www.skinnytaste.com/wp-content/uploads/2011/06/Grilled-Pineapple-6.jpg,102 kcal,4,"This quick and easy Grilled Pineapple with honey, lime juice, and cinnamon is the perfect dessert for summer dinners or backyard parties!",DF GF KF V
Mediterranean Meatballs,https://www.skinnytaste.com/wp-content/uploads/2023/06/Mediterranean-Meatball-Bowl-8.jpg,466 kcal,11,"Mediterranean Meatballs made with flavorful ground turkey meatballs served over Israeli couscous and a bright, lemony cucumber tomato salad. Make them in the air fryer or oven!",AF GF KF MP
Smash Tacos,https://www.skinnytaste.com/wp-content/uploads/2023/06/Smashed-Taco-10.jpg,452 kcal,12,I hopped on the smashed taco trend and made these turkey smash burger tacos a little lighter than what I’ve seen on TikTok. They came out delicious!,KF Q
Loaded Egg Muffins,https://www.skinnytaste.com/wp-content/uploads/2016/02/Loaded-Baked-Omelet-Muffins-7.jpg,165 kcal,2,"Fill these easy loaded egg muffins with any combination of veggies, cheese, and meats. Perfect breakfast to make ahead for the week.",FM GF KF LC MP Q
Veggie Kabobs,https://www.skinnytaste.com/wp-content/uploads/2023/06/Veggie-Kabobs-7.jpg,105 kcal,1,"These colorful, fresh veggie kabobs are perfect for throwing on the grill when you need a quick side dish. So delicious and easy!",DF GF KF Q V
Chipotle Chicken,https://www.skinnytaste.com/wp-content/uploads/2023/06/Chipotle-Chicken-Thighs-5.jpg,216 kcal,4,"This quick and easy chipotle chicken recipe is made with boneless chicken thighs (or breasts), delicious for homemade burrito bowls, tacos, quesadillas, and more.",AF DF GF HP KF LC MP Q
Italian Pasta Salad,https://www.skinnytaste.com/wp-content/uploads/2023/06/Italian-Pasta-Salad-7.jpg,237 kcal,7,"Serve this delicious cold pasta salad at your next BBQ or summer party. It’s packed with colorful veggies, such as broccoli, tomatoes, and cucumbers, plus Italian favorites, like salami, cheese, pepperoncini, and olives.",GF KF
Protein Bagels with Cottage Cheese,https://www.skinnytaste.com/wp-content/uploads/2023/06/Protein-Bagels-4.jpg,164 kcal,5,Whip up a batch of these quick and easy Protein Bagels with Cottage Cheese for breakfast or lunch in less than 30 minutes – they come out perfect!,AF FM GF HP KF Q V
Turkey Burger Recipe,https://www.skinnytaste.com/wp-content/uploads/2023/06/turkey-burgers-2.jpg,351 kcal,8,"This easy turkey burger recipe is simple and delicious, perfect for a quick, weeknight dinner. You can also make them ahead and freeze them!",DF HP KF MP Q
Greek Cottage Cheese Bowl,https://www.skinnytaste.com/wp-content/uploads/2023/05/Skinny_Taste_Greek_Cottage_cheese_bowl-3.jpg,186 kcal,7,This savory Greek Cottage Cheese Bowl is an easy high-protein breakfast or lunch that is fresh and flavorful and doesn’t require any cooking.,GF HP LC Q V
Taco Seasoning Recipe,https://www.skinnytaste.com/wp-content/uploads/2023/06/Taco-Seasoning-Recipe-2.jpg,8 kcal,0,"My go-to, easy homemade taco seasoning recipe made with just 6 ingredients you already have in your pantry. When it comes to making tacos at home, nothing beats making your own spice blend.",DF GF KF Q V W
Grilled Asparagus,https://www.skinnytaste.com/wp-content/uploads/2023/06/Grilled-Asparagus-2.jpg,57 kcal,1,"For the best grilled asparagus, marinate them in a simple balsamic dressing, then grill until charred. An easy, healthy side dish!",DF GF KF LC Q V
Chicken Summer Rolls,https://www.skinnytaste.com/wp-content/uploads/2023/05/Chicken-Summer-Rolls-9.jpg,299 kcal,8,These ground chicken summer rolls with basil and mint are served with a hoisin dipping sauce. They’re fresh and light with a wonderful combination of textures and flavors.,DF HP
Cheesy Stuffed Chicken Breast with Zucchini,https://www.skinnytaste.com/wp-content/uploads/2023/05/Cheesy-Stuffed-Chicken-Breast-with-Zucchini-8.jpg,429 kcal,7,"These Cheesy Stuffed Chicken Breasts with zucchini, cheddar cheese, and cream cheese are delicious and perfect if you’re looking for a high protein dinner idea.",FM GF HP LC
Pickled Red Onions,https://www.skinnytaste.com/wp-content/uploads/2023/05/Skinny-taste-pickled-onions-07.jpg,16 kcal,0,"These easy pickled red onions are delicious and versatile. They add a tangy, slightly sweet, and crunchy element to steaks, sandwiches, tacos, burrito bowls and more!",DF GF LC V
How To Grill Corn on The Cob,https://www.skinnytaste.com/wp-content/uploads/2023/05/Skinny-taste-how-to-grill-corn-on-the-cob-01.jpg,77 kcal,0,"Grilled corn on the cob is an easy, classic summer side dish and a great addition to summer barbecues, camping trips and gatherings. Here’s two ways to grill delicious corn on the cob!",DF GF KF V
Blackened Grilled Salmon Skewers,https://www.skinnytaste.com/wp-content/uploads/2023/05/blackened-salmon-skewers-3-2.jpg,199 kcal,0,"You’ll be making these healthy, grilled Blackened Salmon Skewers all summer long! They’re spicy, smoky, and delicious.",DF GF HP HF LC W
Cilantro Lime Shrimp,https://www.skinnytaste.com/wp-content/uploads/2018/01/Cilantro-Lime-Shrimp-6.jpg,119 kcal,1,Cilantro Lime Shrimp is bursting with flavor and it takes about 10 minutes to make! Serve it over rice or tacos for an easy weeknight dinner!,DF GF HP KF LC Q W
The Best Grilled Chicken Breast,https://www.skinnytaste.com/wp-content/uploads/2023/05/Grilled-Chicken-Breast-3.jpg,339 kcal,2,"This is my go-to grilled chicken breast recipe, it comes out so juicy and flavorful, perfect over salads, sandwiches, or for meal prep!",DF GF HP LC MP W
Creamy Cucumber Salad,https://www.skinnytaste.com/wp-content/uploads/2023/05/Creamy-Cucumber-Salad-6.jpg,60 kcal,1,"This simple, four-ingredient Creamy Cucumber Salad, made with Greek yogurt and fresh dill, is one of my family’s favorite summer side dishes.",GF LC Q V
Blueberry Galette,https://www.skinnytaste.com/wp-content/uploads/2023/05/Blueberry-Galette-8.jpg,155 kcal,5,This easy blueberry galette is the perfect dessert to bake when fresh summer blueberries are in season or any time of the year. Using refrigerated pie dough makes it even faster!,DF KF V
Broccoli and Cheese Egg Muffins,https://www.skinnytaste.com/wp-content/uploads/2013/04/Broccoli-and-Cheese-Egg-Muffins-9.jpg,167 kcal,2,"I love making a batch of these easy make-ahead, high-protein Broccoli and Cheese Egg Muffins for meal prep or breakfast on the go.",FM GF KF LC MP Q V
Air Fryer Sweet Potato Fries,https://www.skinnytaste.com/wp-content/uploads/2017/12/sweetpotatofries-07.jpg,221 kcal,5,These healthy air fryer sweet potato fries are perfectly seasoned and made with just a small amount of oil! Perfect with burgers!,AF DF GF HF KF Q V W
"Pesto Pasta with Arugula, Asparagus, Peas, and Pistachios",https://www.skinnytaste.com/wp-content/uploads/2023/05/Pesto-Pasta-Salad-7.jpg,380 kcal,9,"This healthy Pesto Pasta with Arugula, Asparagus, Peas, and Pistachios is fresh, bright, and absolutely delicious! Eat it warm or cold!",HF V
Lentil Curry,https://www.skinnytaste.com/wp-content/uploads/2023/05/Lentil-Curry-7.jpg,216 kcal,0,"This easy lentil curry made with curry powder, garam masala, and other spices is perfect over white rice or cauliflower rice as a vegan or vegetarian main or side dish.",DF GF HF MP PC V
Hot Dog Onions,https://www.skinnytaste.com/wp-content/uploads/2023/05/Hot-Dog-Onions-8.jpg,64 kcal,1,"Smoky, tangy, and delicious, this is my mom’s recipe for saucy Hot Dog Onions. They’re my favorite way to top my franks, and they only take about 15 minutes to make!",DF GF LC Q V
Creamy Orzo with Asparagus and Peas,https://www.skinnytaste.com/wp-content/uploads/2023/05/Creamy-Orzo-with-Asparagus-and-Peas-7-1.jpg,423 kcal,10,"This delicious, creamy orzo pasta dish with asparagus and peas is fresh, bright, and lemony – the perfect spring dinner. Plus, it’s vegan and dairy-free.",DF HF V
High-Protein Cottage Cheese Veggie Dip with Za’atar,https://www.skinnytaste.com/wp-content/uploads/2023/05/High-Protein-Cottage-Cheese-Veggie-Dip-5.jpg,186 kcal,3,High Protein Cottage Cheese Veggie Dip with Za’atar is a delicious and healthy snack that’s easy to make and perfect for any time of day. A great way to get those veggies in!,GF HP HF Q V
Artichoke Dip,https://www.skinnytaste.com/wp-content/uploads/2010/12/Skinny-Artichoke-Dip-7.jpg,73.7 kcal,2,"This creamy, delicious artichoke dip is hot and cheesy baked with Parmesan and mozzarella cheese topped with golden breadcrumbs. Perfect appetizer with baked chips!",GF KF LC Q V
Spicy Shrimp Francese with Calabrian Chili,https://www.skinnytaste.com/wp-content/uploads/2023/05/Spicy-Shrimp-Francese-with-Calabrian-Chili-7.jpg,256 kcal,4,Spicy Shrimp Francese with Calabrian Chili is a seafood dish combining traditional Italian Francese sauce with spicy Calabrian chili peppers.,HP LC
Yogurt-Marinated Chicken,https://www.skinnytaste.com/wp-content/uploads/2023/05/Yogurt-Marinated-Chicken-6.jpg,314 kcal,7,Easy Yogurt-Marinated Chicken made with grilled boneless chicken thighs (or chicken breasts) made in a Greek yogurt marinade for the most tender chicken.,AF GF HP LC
English Muffin Breakfast Sandwich,https://www.skinnytaste.com/wp-content/uploads/2023/05/English-Muffin-Egg-Sandwich-10.jpg,242 kcal,5,"This easy English Muffin Breakfast Sandwich with turkey bacon, egg and cheese is my go-to egg sandwich and the best way to start the morning!",GF HP HF KF MP Q
Best Guacamole Recipe,https://www.skinnytaste.com/wp-content/uploads/2017/01/Guacamole-2.jpg,93 kcal,2,"This is the Best Guacamole Recipe, and it’s so easy to make! A healthy vegetarian dip to serve it with chips, tacos, tostones, chicken enchiladas, and more.",DF GF KF LC Q V W
Pico de Gallo,https://www.skinnytaste.com/wp-content/uploads/2008/05/Pico-de-Gallo-9.jpg,36.5 kcal,0,"Pico de gallo is a fresh salsa made from diced tomatoes, onion, and peppers, perfect for serving over tacos, burritos, bowls, or to eat with chips!",DF GF Q V W
Shrimp Tacos,https://www.skinnytaste.com/wp-content/uploads/2023/05/shrimp-tacos-1.jpg,288 kcal,6,These healthy shrimp tacos with slaw are easy and delicious! Served on a warm tortilla with a delicious shrimp taco sauce.,AF GF HP KF Q
Greek Tofu Bowls,https://www.skinnytaste.com/wp-content/uploads/2023/05/Greek-Tofu-Bowl-9.jpg,485 kcal,8,"Greek Tofu Bowls feature crispy, baked breaded tofu cutlets over a bed of fresh cucumbers, tomatoes and peppers in a light dressing.",GF HP HF MP V
Angel Hair Pasta with Shrimp and Tomato Cream Sauce,https://www.skinnytaste.com/wp-content/uploads/2010/01/Angel-Hair-with-Shrimp-and-Tomato-Sauce-6.jpg,377 kcal,6,"Angel hair pasta with shrimp and tomato sauce is made with a touch of cream, white wine and a hint of lemon. A quick weeknight dinner idea!",GF HP HF KF Q
Lasagna Roll Ups With Cottage Cheese,https://www.skinnytaste.com/wp-content/uploads/2023/04/Cottage-Cheese-Lasagna-Rolls-6.jpg,462 kcal,11,"These easy, delicious, high-protein Cottage Cheese Lasagna Roll Ups are vegetarian and perfect weeknight dinners.",GF HP V
Air Fryer Salmon Patties,https://www.skinnytaste.com/wp-content/uploads/2023/04/Air-Fryer-Salmon-Patties-8.jpg,314 kcal,4,These Air Fryer Salmon Patties are great for using leftover salmon or canned salmon and turning it into something delicious.,AF DF GF HP MP
Roasted Strawberry Almond Flour Muffins,https://www.skinnytaste.com/wp-content/uploads/2023/04/Roasted-Strawberry-Almond-Flour-Muffins-8.jpg,164 kcal,6,"These gluten-free Roasted Strawberry Almond Flour Muffins are delicious and light, made with Greek yogurt, oat flour, and almond flour.",GF KF V
Fiesta Bean Salad,https://www.skinnytaste.com/wp-content/uploads/2013/04/Fiesta-Bean-Salad-5.jpg,335 kcal,3,"Fiesta Bean Salad is made with black beans, chick peas, tomatoes, cilantro and avocado tossed with a cumin-lime vinaigrette.",DF GF HF Q V
Ground Beef and Broccoli Stir Fry,https://www.skinnytaste.com/wp-content/uploads/2023/04/Ground-Beef-and-Broccoli-8.jpg,327 kcal,8,This easy Ground Beef and Broccoli stir-fry is perfect when you need a quick weeknight dinner!,DF HP HF
Roasted Mushrooms with Parmesan,https://www.skinnytaste.com/wp-content/uploads/2023/04/Roasted-Mushroom-Medley-with-Parmesan-5.jpg,120 kcal,3,These easy oven roasted mushrooms can be made with any variety of mushrooms – just make sure to keep the slices a similar size so they roast evenly.,GF KF LC Q V
Huevos Pericos,https://www.skinnytaste.com/wp-content/uploads/2008/03/Huevos-Pericos-7.jpg,155 kcal,1,"Huevos pericos are a traditional Colombian breakfast dish made with scrambled eggs, tomatoes, and scallions.",DF GF HP LC Q V W
Chicken Satay with Spicy Peanut Sauce,https://www.skinnytaste.com/wp-content/uploads/2016/06/Grilled-Chicken-Satay-9.jpg,265 kcal,4,"These easy, flavorful Thai-inspired chicken satay skewers are marinated in coconut milk and spices and then grilled and served with a delicious spicy peanut sauce for dipping.",DF GF HP LC
Open Faced Tuna Sandwich with Avocado,https://www.skinnytaste.com/wp-content/uploads/2019/01/Open-Faced-Tuna-Sandwich-8.jpg,247 kcal,3,My favorite way to make a tuna sandwich is open-faced with a veggie-loaded tuna salad topped with avocado and sprouts. A quick and easy healthy lunch idea.,DF GF HF Q
Ropa Vieja,https://www.skinnytaste.com/wp-content/uploads/2023/03/Instant-Pot-Ropa-Vieja-10.jpg,350 kcal,7,"Ropa Vieja is a Cuban dish made with shredded beef that has been slowly cooked with onions, peppers, olives, tomato sauce, and spices like cumin and oregano.",DF GF HP KF LC PC
Green Smoothie Bowl,https://www.skinnytaste.com/wp-content/uploads/2023/04/Green-Smoothie-Bowl-5.jpg,404 kcal,7,This easy Green Smoothie Bowl is a tasty and nutritious breakfast that’s customizable and packed with healthy ingredients that will keep you feeling great all morning!,DF FM GF HF KF Q V
Insanely Good Blueberry Oatmeal Muffins,https://www.skinnytaste.com/wp-content/uploads/2012/03/Blueberry-Oatmeal-Muffins-10.jpg,127 kcal,4,"These Blueberry Oatmeal Muffins are insanely good! Hard to believe they are light. Think baked oatmeal, but in the form of a muffin!",DF FM KF V
20-Minute Veggie Lo Mein Bowl,https://www.skinnytaste.com/wp-content/uploads/2023/04/20-Minute-Lo-Mein-5.jpg,354 kcal,9,"This quick and easy, 20-Minute Veggie Lo Mein Bowl is perfect if you need a healthy vegetarian or vegan dinner idea!",DF GF HF KF MP Q V
Roasted Carrots,https://www.skinnytaste.com/wp-content/uploads/2022/12/Herb-Roasted-Carrots-1-5.jpg,106 kcal,2,"These easy Roasted Carrots with bake in the oven with garlic and fresh herbs like thyme, and parsley. They’re a healthy side dish that goes well with any protein, like lamb, roasted chicken or turkey.",DF GF HF KF V W
Ground Turkey with Potatoes and Spring Peas,https://www.skinnytaste.com/wp-content/uploads/2011/05/Ground-Turkey-with-Potatoes_1-8.jpg,209 kcal,6,"Ground Turkey with Potatoes and Spring Peas, cumin and cilantro makes a quick and easy weeknight dinner.",DF FM GF KF Q W
Italian Sub Broccoli Salad,https://www.skinnytaste.com/wp-content/uploads/2023/03/Italian-Sub-Broccoli-Spoon-Salad-5.jpg,373 kcal,9,"This Italian broccoli salad is loaded with your favorite Italian hero fillings, like salami, ham, pepperoncini, mozzarella, and provolone. A flavorful make-ahead lunch!",GF HP HF MP Q
5-Ingredient Salmon Salad (easy lunch idea),https://www.skinnytaste.com/wp-content/uploads/2023/03/Salmon-Salad-6.jpg,139 kcal,1,"You’ve tried tuna salad and chicken salad, but have you ever eaten salmon salad? You can make this healthy high-protein lunch with leftover salmon or poach it in the microwave in two minutes!",DF GF HP LC Q W
Baked Shrimp Parmesan Hero,https://www.skinnytaste.com/wp-content/uploads/2011/09/Shrimp-Parmigiana-Hero-9.jpg,433 kcal,11,"You’ve had Chicken Parmesan, but have you ever tried a Shrimp Parmesan Hero? So good, made with baked breaded shrimp marinara and mozzarella.",GF KF Q
Parmesan Asparagus Fries,https://www.skinnytaste.com/wp-content/uploads/2023/03/Parmesan-Asparagus-Fries-6.jpg,110 kcal,5,"These crisp, golden, and delicious Parmesan asparagus fries are a tasty way to eat your veggies! Bake them in the oven or make them in the air fryer!",AF DF GF KF Q V
Broiled Tilapia Oreganata,https://www.skinnytaste.com/wp-content/uploads/2008/03/Broild-Tilapia-Oreganata-7.jpg,219 kcal,2,Broiled Tilapia Oreganata is my favorite way to make tilapia when I’m craving fish for a quick weeknight meal.,GF HP KF LC Q
Hash Brown Egg White Nests,https://www.skinnytaste.com/wp-content/uploads/2011/06/Hash-Brown-Egg-White-Nests-7.jpg,134 kcal,2,"These tasty, protein-packed hash brown egg white nests are a great way to start your day off right, and an easy make-ahead breakfast!",GF
Tofu Poke Bowl,https://www.skinnytaste.com/wp-content/uploads/2023/03/Tofu-Poke-Bowl-8.jpg,520 kcal,7,"If you want a tasty plant-based dinner, you’ll love these vegan Tofu Poke Bowls that replace tuna poke with tofu.",DF GF HP HF MP V
Broccoli Cheddar Soup,https://www.skinnytaste.com/wp-content/uploads/2023/03/Broccoli-Cheddar-Soup-8.jpg,242 kcal,7,"This classic Broccoli Cheddar Soup recipe is a delicious, comforting soup that can be enjoyed year-round for lunch or dinner.",GF KF V
Baked Salmon Cakes,https://www.skinnytaste.com/wp-content/uploads/2013/12/Baked-Salmon-Cakes-10.jpg,87 kcal,3,"These healthy baked salmon cakes are perfect as an appetizer with my zesty avocado dressing, or make it a meal with salad, roasted veggies or rice on the side. A great way to use up leftover salmon!",GF
Classic Chicken Salad Recipe,https://www.skinnytaste.com/wp-content/uploads/2008/07/Classic-Chicken-Salad-4.jpg,131 kcal,1,"My quick and easy, classic chicken salad recipe made healthier and lighter to make the perfect homemade chicken salad sandwich. The perfect cold lunch for meal prep!",DF GF HP KF LC MP Q
Turkey Shepherd’s Pie Stuffed Sweet Potato,https://www.skinnytaste.com/wp-content/uploads/2023/03/Shepherds-Pie-Stuffed-Sweet-Potato-7.jpg,401 kcal,9,"Inspired by my Shepherd’s Pie, I made an easy and healthy, stuffed sweet potato topped with ground turkey shepherds pie filling – it came out great!",DF GF HP HF KF MP
Linguini and Shrimp Fra Diavolo,https://www.skinnytaste.com/wp-content/uploads/2012/05/Linguine-and-Shrimp-Fra-Diavolo-5.jpg,385 kcal,7,"You’ll love this spicy, Italian-American Shrimp dish served over linguini, perfect for seafood lovers!",DF GF HF Q
Honey-Mustard Air Fryer Pork Chops,https://www.skinnytaste.com/wp-content/uploads/2023/02/Air-Fryer-Honey-Mustard-Pork-Chops-4.jpg,241 kcal,8,"These crispy Honey-Mustard Air Fryer Pork Chops are marinated in honey mustard, breaded with panko, and air fried until golden.",AF DF FM GF
Tropical Chia Pudding Breakfast Bowl (High Protein),https://www.skinnytaste.com/wp-content/uploads/2023/02/Tropical-Chia-Pudding-Breakfast-Bowl-9.jpg,305 kcal,5,"This easy, high-protein, Tropical Chia Pudding Breakfast Bowl is creamy and delicious, made with chia seeds, Greek yogurt, mango and kiwi.",GF HP HF KF MP V
Short Rib Soup (Instant Pot or Stove),https://www.skinnytaste.com/wp-content/uploads/2023/03/Short-Rib-Soup-10.jpg,206 kcal,8,This Asian-inspired Short Rib Soup with mushrooms and Swiss chard is cozy and hits the spot when you’re craving a comforting soup.,DF FM GF HP KF LC PC
"Honey Sriracha Roasted Salmon Rice Bowls (GF, DF)",https://www.skinnytaste.com/wp-content/uploads/2023/02/Honey-Sriracha-Roasted-Salmon-Bowls-7.jpg,506 kcal,8,"These 10-minute roasted salmon rice bowls and made with bite sized pieces of honey-sriracha salmon, cucumbers and avocado. So delicious!",DF GF HP HF Q
Wild Mushroom and Farro Soup,https://www.skinnytaste.com/wp-content/uploads/2023/02/Wild-Mushroom-_-Farro-Soup-3.jpg,331 kcal,8,"You’ll love this hearty, healthy and filling wild mushroom and farro soup recipe that eats like a meal!",FM HF MP
Cabbage Soup with Chicken and Pork,https://www.skinnytaste.com/wp-content/uploads/2009/02/Cabbage-Soup-with-Chicken-and-Pork-6.jpg,217 kcal,4,"This hearty cabbage soup with chicken, pork and lots of vegetables is a simple one pot meal.",FM GF HP LC
"Spicy Gochujang Tofu Bowl (Vegan, Gluten-Free)",https://www.skinnytaste.com/wp-content/uploads/2023/02/Spicy-Gochujang-Tofu-Bowls-6.jpg,473 kcal,9,"If you want to turn a non-tofu lover into a believer, crumble it up! This vegan Spicy Gochujang Tofu Bowl is loaded with protein, veggies, and tons of flavor!",DF HP HF MP V
